moisture,temperature,pH,timestamp
47,21,7,2024-10-14 11:41:33+00:00
48,21,7,2024-10-14 11:41:47+00:00
47,21,7,2024-10-14 11:42:00+00:00
48,21,7,2024-10-14 11:42:13+00:00
46,21,6,2024-10-14 11:42:26+00:00
49,21,6,2024-10-14 11:42:39+00:00
51,21,7,2024-10-14 11:42:52+00:00
48,21,7,2024-10-14 11:43:06+00:00
52,21,7,2024-10-14 11:43:19+00:00
46,21,7,2024-10-14 11:43:32+00:00
47,21,7,2024-10-14 11:43:45+00:00
48,21,7,2024-10-14 11:43:58+00:00
47,21,7,2024-10-14 11:44:12+00:00
51,21,7,2024-10-14 11:44:25+00:00
51,21,6,2024-10-14 11:44:38+00:00
48,21,6,2024-10-14 11:44:51+00:00
47,21,6,2024-10-14 11:45:04+00:00
50,21,6,2024-10-14 11:45:17+00:00
51,21,7,2024-10-14 11:45:31+00:00
47,21,7,2024-10-14 11:45:44+00:00
51,21,7,2024-10-14 11:45:57+00:00
53,21,7,2024-10-14 11:46:10+00:00
50,21,6,2024-10-14 11:46:23+00:00
50,21,6,2024-10-14 11:46:36+00:00
51,21,7,2024-10-14 11:46:50+00:00
48,21,7,2024-10-14 11:47:03+00:00
51,21,7,2024-10-14 11:47:16+00:00
47,21,7,2024-10-14 11:47:29+00:00
47,21,7,2024-10-14 11:47:42+00:00
48,21,7,2024-10-14 11:47:55+00:00
48,21,7,2024-10-14 11:48:09+00:00
47,21,7,2024-10-14 11:48:22+00:00
54,21,7,2024-10-14 11:48:35+00:00
47,21,7,2024-10-14 11:48:48+00:00
52,21,6,2024-10-14 11:49:01+00:00
47,21,7,2024-10-14 11:49:15+00:00
48,21,7,2024-10-14 11:49:28+00:00
51,21,7,2024-10-14 11:49:41+00:00
47,21,6,2024-10-14 11:49:54+00:00
47,21,7,2024-10-14 11:50:07+00:00
52,21,7,2024-10-14 11:50:20+00:00
47,21,7,2024-10-14 11:50:34+00:00
53,21,7,2024-10-14 11:50:47+00:00
47,21,7,2024-10-14 11:51:00+00:00
49,21,7,2024-10-14 11:51:13+00:00
47,21,6,2024-10-14 11:51:26+00:00
48,21,6,2024-10-14 11:51:39+00:00
50,21,6,2024-10-14 11:51:53+00:00
51,21,6,2024-10-14 11:52:06+00:00
47,21,7,2024-10-14 11:52:19+00:00
47,21,7,2024-10-14 11:52:32+00:00
50,21,7,2024-10-14 11:52:45+00:00
51,21,6,2024-10-14 11:52:58+00:00
49,21,6,2024-10-14 11:53:12+00:00
47,21,6,2024-10-14 11:53:25+00:00
48,21,7,2024-10-14 11:53:38+00:00
51,21,7,2024-10-14 11:53:51+00:00
47,21,7,2024-10-14 11:54:04+00:00
47,21,6,2024-10-14 11:54:17+00:00
47,21,6,2024-10-14 11:54:31+00:00
47,21,7,2024-10-14 11:54:44+00:00
50,21,7,2024-10-14 11:54:57+00:00
47,21,6,2024-10-14 11:55:10+00:00
47,21,6,2024-10-14 11:55:23+00:00
47,21,6,2024-10-14 11:55:36+00:00
47,21,6,2024-10-14 11:55:50+00:00
47,21,7,2024-10-14 11:56:03+00:00
47,21,7,2024-10-14 11:56:16+00:00
47,21,7,2024-10-14 11:56:29+00:00
50,21,7,2024-10-14 11:56:42+00:00
47,21,7,2024-10-14 11:56:55+00:00
48,21,7,2024-10-14 11:57:09+00:00
47,21,7,2024-10-14 11:57:22+00:00
47,21,7,2024-10-14 11:57:35+00:00
51,21,7,2024-10-14 11:57:48+00:00
50,21,7,2024-10-14 11:58:01+00:00
47,21,7,2024-10-14 11:58:14+00:00
50,21,7,2024-10-14 11:58:28+00:00
52,21,7,2024-10-14 11:58:41+00:00
50,21,7,2024-10-14 11:58:54+00:00
51,21,7,2024-10-14 11:59:07+00:00
49,21,7,2024-10-14 11:59:20+00:00
47,21,6,2024-10-14 11:59:34+00:00
50,21,7,2024-10-14 11:59:47+00:00
51,21,7,2024-10-14 12:00:00+00:00
51,21,7,2024-10-14 12:00:13+00:00
51,21,6,2024-10-14 12:00:26+00:00
51,21,6,2024-10-14 12:00:39+00:00
47,21,6,2024-10-14 12:00:53+00:00
48,21,6,2024-10-14 12:01:06+00:00
47,21,6,2024-10-14 12:01:19+00:00
52,21,6,2024-10-14 12:01:32+00:00
50,21,6,2024-10-14 12:01:45+00:00
48,21,6,2024-10-14 12:01:58+00:00
51,21,6,2024-10-14 12:02:12+00:00
51,21,7,2024-10-14 12:02:25+00:00
46,21,7,2024-10-14 12:02:38+00:00
54,21,7,2024-10-14 12:02:51+00:00
51,21,7,2024-10-14 12:03:04+00:00
50,21,7,2024-10-14 12:03:17+00:00
48,21,6,2024-10-14 12:03:31+00:00
48,21,6,2024-10-14 12:03:44+00:00
48,21,7,2024-10-14 12:03:57+00:00
47,21,6,2024-10-14 12:04:10+00:00
50,21,6,2024-10-14 12:04:23+00:00
47,21,7,2024-10-14 12:04:36+00:00
49,21,6,2024-10-14 12:04:50+00:00
46,21,7,2024-10-14 12:05:03+00:00
51,21,7,2024-10-14 12:05:16+00:00
51,21,6,2024-10-14 12:05:29+00:00
50,21,6,2024-10-14 12:05:42+00:00
50,21,6,2024-10-14 12:05:55+00:00
46,21,6,2024-10-14 12:06:09+00:00
51,21,6,2024-10-14 12:06:22+00:00
48,21,6,2024-10-14 12:06:35+00:00
47,21,6,2024-10-14 12:06:48+00:00
48,21,6,2024-10-14 12:07:01+00:00
46,21,6,2024-10-14 12:07:14+00:00
46,21,6,2024-10-14 12:07:28+00:00
47,21,6,2024-10-14 12:07:41+00:00
47,21,6,2024-10-14 12:07:54+00:00
50,21,6,2024-10-14 12:08:07+00:00
47,21,6,2024-10-14 12:08:20+00:00
46,21,6,2024-10-14 12:08:33+00:00
51,21,6,2024-10-14 12:08:47+00:00
47,21,6,2024-10-14 12:09:00+00:00
47,21,6,2024-10-14 12:09:13+00:00
46,21,6,2024-10-14 12:09:26+00:00
51,21,6,2024-10-14 12:09:39+00:00
48,21,6,2024-10-14 12:09:52+00:00
49,21,6,2024-10-14 12:10:06+00:00
51,21,6,2024-10-14 12:10:19+00:00
47,21,6,2024-10-14 12:10:32+00:00
50,21,6,2024-10-14 12:10:45+00:00
50,21,6,2024-10-14 12:10:58+00:00
46,21,6,2024-10-14 12:11:12+00:00
47,21,6,2024-10-14 12:11:25+00:00
50,21,6,2024-10-14 12:11:38+00:00
50,21,6,2024-10-14 12:11:51+00:00
52,21,6,2024-10-14 12:12:04+00:00
48,21,6,2024-10-14 12:12:17+00:00
46,21,6,2024-10-14 12:12:31+00:00
47,21,6,2024-10-14 12:12:44+00:00
51,21,6,2024-10-14 12:12:57+00:00
51,21,6,2024-10-14 12:13:10+00:00
47,21,6,2024-10-14 12:13:23+00:00
50,21,6,2024-10-14 12:13:36+00:00
48,21,6,2024-10-14 12:13:50+00:00
51,21,6,2024-10-14 12:14:03+00:00
52,21,6,2024-10-14 12:14:16+00:00
46,21,6,2024-10-14 12:14:29+00:00
47,21,6,2024-10-14 12:14:42+00:00
47,21,6,2024-10-14 12:14:55+00:00
50,21,6,2024-10-14 12:15:09+00:00
47,21,6,2024-10-14 12:15:22+00:00
50,21,6,2024-10-14 12:15:35+00:00
47,21,6,2024-10-14 12:15:48+00:00
51,21,6,2024-10-14 12:16:01+00:00
47,21,6,2024-10-14 12:16:14+00:00
47,21,6,2024-10-14 12:16:28+00:00
47,21,6,2024-10-14 12:16:41+00:00
47,21,6,2024-10-14 12:16:54+00:00
46,21,6,2024-10-14 12:17:07+00:00
50,21,6,2024-10-14 12:17:20+00:00
47,21,6,2024-10-14 12:17:33+00:00
49,21,6,2024-10-14 12:17:47+00:00
49,21,6,2024-10-14 12:18:00+00:00
47,21,6,2024-10-14 12:18:13+00:00
46,21,6,2024-10-14 12:18:26+00:00
50,21,6,2024-10-14 12:18:39+00:00
47,21,6,2024-10-14 12:18:52+00:00
48,21,6,2024-10-14 12:19:06+00:00
52,21,6,2024-10-14 12:19:19+00:00
47,21,6,2024-10-14 12:19:32+00:00
52,21,6,2024-10-14 12:19:45+00:00
47,21,6,2024-10-14 12:19:58+00:00
51,21,6,2024-10-14 12:20:11+00:00
49,21,6,2024-10-14 12:20:25+00:00
50,21,6,2024-10-14 12:20:38+00:00
51,21,6,2024-10-14 12:20:51+00:00
46,21,6,2024-10-14 12:21:04+00:00
47,21,6,2024-10-14 12:21:17+00:00
47,21,6,2024-10-14 12:21:31+00:00
51,21,6,2024-10-14 12:21:44+00:00
49,21,6,2024-10-14 12:21:57+00:00
46,21,6,2024-10-14 12:22:10+00:00
47,21,6,2024-10-14 12:22:23+00:00
48,21,6,2024-10-14 12:22:36+00:00
50,21,6,2024-10-14 12:22:50+00:00
47,21,6,2024-10-14 12:23:03+00:00
47,21,6,2024-10-14 12:23:16+00:00
47,21,6,2024-10-14 12:23:29+00:00
54,21,6,2024-10-14 12:23:42+00:00
51,21,6,2024-10-14 12:23:55+00:00
17,20,7,2024-10-14 12:24:09+00:00
17,20,7,2024-10-14 12:24:22+00:00
19,20,7,2024-10-14 12:24:35+00:00
17,20,7,2024-10-14 12:24:48+00:00
93,21,7,2024-10-14 12:25:01+00:00
94,21,7,2024-10-14 12:25:14+00:00
92,21,6,2024-10-14 12:25:28+00:00
93,21,6,2024-10-14 12:25:41+00:00
92,21,6,2024-10-14 12:25:54+00:00
85,21,7,2024-10-14 12:26:07+00:00
89,21,6,2024-10-14 12:26:20+00:00
85,21,6,2024-10-14 12:26:33+00:00
89,21,6,2024-10-14 12:26:47+00:00
51,25,5,2024-10-14 12:56:26+00:00
96,25,5,2024-10-14 12:56:39+00:00
94,25,5,2024-10-14 12:56:52+00:00
96,25,5,2024-10-14 12:57:05+00:00
99,25,5,2024-10-14 12:57:18+00:00
93,25,5,2024-10-14 12:57:31+00:00
100,25,5,2024-10-14 12:57:45+00:00
